element_id,line_load,load_case,load_direction,load_group,group_name,eccentricity
102,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
103,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
103,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
104,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
104,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
105,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
105,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
106,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
106,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
107,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
107,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
108,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
108,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
109,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
109,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
110,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
110,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
111,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
111,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
112,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
112,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
113,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
113,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
114,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
114,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
115,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
115,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
116,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
116,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
117,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
117,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
118,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
118,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
119,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
